Name,Address,Phone
Saint Joseph Catholic Church (Santa Ana),727 Minter Street,(714) 847-8546
International Church of the Foursquare Gospel,"1910 Sunset Blvd, Los Angeles, CA 90026",(888) 635-4234
Japanese American Cultural & Community Center,"244 San Pedro St, Los Angeles, CA 90012, USA",(213) 628-2725
Los Angeles Mission,"303 E 5th St, Los Angeles, CA 90013",(213) 629-1227
Beit T'Shuvah,"8831 Venice Blvd, Los Angeles, CA 90034",(310) 204-5200
Mi Casa es Puebla Los Angeles,"Mi Casa es Puebla, 328 S Indiana St, Los Angeles, CA 90063, USA",(323) 881-9549
Hollywood Prayer Network,"1760 N Gower St, Los Angeles, CA 90028, USA",(323) 462-8486
LA River Revitalization Corporation,"525 S Hewitt St, Los Angeles, CA 90013",(323) 221-7800
Hompa Hongwanji Buddhist Temple,"815 E 1st St, Los Angeles, CA 90012, USA",(213) 680-9130
St Vincent Medical Center Inc,"2303 Miramar St, Los Angeles, CA 90057",(213) 484-7111
